    0.000000e+00    1.0000000000e+00    0.0000000000e+00
    2.000000e-02    9.9990022965e-01    9.9770345382e-05
    4.000000e-02    9.9960342528e-01    3.9657472046e-04
    6.000000e-02    9.9911617708e-01    8.8382291863e-04
    8.000000e-02    9.9844775804e-01    1.5522419587e-03
    1.000000e-01    9.9760908829e-01    2.3909117148e-03
    1.200000e-01    9.9661201920e-01    3.3879808041e-03
    1.400000e-01    9.9546884855e-01    4.5311514477e-03
    1.600000e-01    9.9419199302e-01    5.8080069789e-03
    1.800000e-01    9.9279376415e-01    7.2062358471e-03
    2.000000e-01    9.9128621145e-01    8.7137885475e-03
    2.200000e-01    9.8968100921e-01    1.0318990788e-02
    2.400000e-01    9.8798937282e-01    1.2010627181e-02
    2.600000e-01    9.8622199607e-01    1.3778003935e-02
    2.800000e-01    9.8438900454e-01    1.5610995459e-02
    3.000000e-01    9.8249992222e-01    1.7500077782e-02
    3.200000e-01    9.8056364942e-01    1.9436350583e-02
    3.400000e-01    9.7858845088e-01    2.1411549115e-02
    3.600000e-01    9.7658195290e-01    2.3418047099e-02
    3.800000e-01    9.7455114838e-01    2.5448851618e-02
    4.000000e-01    9.7250240898e-01    2.7497591023e-02
    4.200000e-01    9.7044150310e-01    2.9558496901e-02
    4.400000e-01    9.6837361885e-01    3.1626381148e-02
    4.600000e-01    9.6630339085e-01    3.3696609145e-02
    4.800000e-01    9.6423492999e-01    3.5765070008e-02
    5.000000e-01    9.6217185521e-01    3.7828144786e-02
    5.200000e-01    9.6011732659e-01    3.9882673409e-02
    5.400000e-01    9.5807407893e-01    4.1925921069e-02
    5.600000e-01    9.5604445536e-01    4.3955544637e-02
    5.800000e-01    9.5403044039e-01    4.5969559613e-02
    6.000000e-01    9.5203369201e-01    4.7966307990e-02
    6.200000e-01    9.5005557263e-01    4.9944427365e-02
    6.400000e-01    9.4809717848e-01    5.1902821516e-02
    6.600000e-01    9.4615936738e-01    5.3840632615e-02
    6.800000e-01    9.4424278482e-01    5.5757215181e-02
    7.000000e-01    9.4234788818e-01    5.7652111823e-02
    7.200000e-01    9.4047496920e-01    5.9525030801e-02
    7.400000e-01    9.3862417462e-01    6.1375825375e-02
    7.600000e-01    9.3679552510e-01    6.3204474899e-02
    7.800000e-01    9.3498893240e-01    6.5011067603e-02
    8.000000e-01    9.3320421502e-01    6.6795784978e-02
    8.200000e-01    9.3144111231e-01    6.8558887689e-02
    8.400000e-01    9.2969929710e-01    7.0300702899e-02
    8.600000e-01    9.2797838706e-01    7.2021612939e-02
    8.800000e-01    9.2627795481e-01    7.3722045192e-02
    9.000000e-01    9.2459753687e-01    7.5402463126e-02
    9.200000e-01    9.2293664164e-01    7.7063358362e-02
    9.400000e-01    9.2129475631e-01    7.8705243692e-02
    9.600000e-01    9.1967135303e-01    8.0328646967e-02
    9.800000e-01    9.1806589424e-01    8.1934105764e-02
    1.000000e+00    9.1647783723e-01    8.3522162766e-02
    1.020000e+00    9.1490663823e-01    8.5093361773e-02
    1.040000e+00    9.1335175570e-01    8.6648244295e-02
    1.060000e+00    9.1181265335e-01    8.8187346646e-02
    1.080000e+00    9.1028880250e-01    8.9711197500e-02
    1.100000e+00    9.0877968415e-01    9.1220315855e-02
    1.120000e+00    9.0728479065e-01    9.2715209347e-02
    1.140000e+00    9.0580362711e-01    9.4196372893e-02
    1.160000e+00    9.0433571240e-01    9.5664287605e-02
    1.180000e+00    9.0288058005e-01    9.7119419951e-02
    1.200000e+00    9.0143777886e-01    9.8562221136e-02
    1.220000e+00    9.0000687334e-01    9.9993126660e-02
    1.240000e+00    8.9858744395e-01    1.0141255605e-01
    1.260000e+00    8.9717908729e-01    1.0282091271e-01
    1.280000e+00    8.9578141608e-01    1.0421858392e-01
    1.300000e+00    8.9439405908e-01    1.0560594092e-01
    1.320000e+00    8.9301666092e-01    1.0698333908e-01
    1.340000e+00    8.9164888186e-01    1.0835111814e-01
    1.360000e+00    8.9029039748e-01    1.0970960252e-01
    1.380000e+00    8.8894089833e-01    1.1105910167e-01
    1.400000e+00    8.8760008954e-01    1.1239991046e-01
    1.420000e+00    8.8626769036e-01    1.1373230964e-01
    1.440000e+00    8.8494343376e-01    1.1505656624e-01
    1.460000e+00    8.8362706596e-01    1.1637293404e-01
    1.480000e+00    8.8231834590e-01    1.1768165410e-01
    1.500000e+00    8.8101704481e-01    1.1898295519e-01
    1.520000e+00    8.7972294570e-01    1.2027705430e-01
    1.540000e+00    8.7843584284e-01    1.2156415716e-01
    1.560000e+00    8.7715554135e-01    1.2284445865e-01
    1.580000e+00    8.7588185663e-01    1.2411814337e-01
    1.600000e+00    8.7461461397e-01    1.2538538603e-01
    1.620000e+00    8.7335364802e-01    1.2664635198e-01
    1.640000e+00    8.7209880238e-01    1.2790119762e-01
    1.660000e+00    8.7084992916e-01    1.2915007084e-01
    1.680000e+00    8.6960688852e-01    1.3039311148e-01
    1.700000e+00    8.6836954829e-01    1.3163045171e-01
    1.720000e+00    8.6713778359e-01    1.3286221641e-01
    1.740000e+00    8.6591147637e-01    1.3408852363e-01
    1.760000e+00    8.6469051514e-01    1.3530948486e-01
    1.780000e+00    8.6347479453e-01    1.3652520547e-01
    1.800000e+00    8.6226421500e-01    1.3773578500e-01
    1.820000e+00    8.6105868252e-01    1.3894131748e-01
    1.840000e+00    8.5985810823e-01    1.4014189177e-01
    1.860000e+00    8.5866240816e-01    1.4133759184e-01
    1.880000e+00    8.5747150295e-01    1.4252849705e-01
    1.900000e+00    8.5628531758e-01    1.4371468242e-01
